block_id,start,noise,steps,p1,p2,p3,p4,p5,p6,depth,Q,action,Q_var,Q_abs,Q_abs_max,Q_diff,a_optim
35,1,1,2,20.0,-10.0,-10.0,-20.0,-20.0,20.0,2,-0.2500009536743164,1,96.14062386751196,0.2500009536743164,24.00000095367432,23.750000000000004,1
36,5,1,2,20.0,20.0,-10.0,-20.0,10.0,0.0,1,-2.0000000298023224,0,55.51561960205456,2.0000000298023224,15.999999046325684,9.500000029802322,1
36,5,1,2,20.0,20.0,-10.0,-20.0,10.0,0.0,1,7.5,1,55.51561960205456,7.5,15.999999046325684,9.500000029802322,1
36,5,1,2,20.0,20.0,-10.0,-20.0,10.0,0.0,2,15.999999046325684,0,55.51561960205456,15.999999046325684,15.999999046325684,-11.249999403953552,0
36,5,1,2,20.0,20.0,-10.0,-20.0,10.0,0.0,2,4.749999642372131,1,55.51561960205456,4.749999642372131,15.999999046325684,-11.249999403953552,0
37,2,1,2,20.0,10.0,0.0,20.0,-10.0,-20.0,1,-2.0000000298023224,0,61.14061852172037,2.0000000298023224,15.999999046325684,4.500000029802322,1
37,2,1,2,20.0,10.0,0.0,20.0,-10.0,-20.0,1,2.5,1,61.14061852172037,2.5,15.999999046325684,4.500000029802322,1
37,2,1,2,20.0,10.0,0.0,20.0,-10.0,-20.0,2,15.999999046325684,0,61.14061852172037,15.999999046325684,15.999999046325684,-13.749999403953552,0
37,2,1,2,20.0,10.0,0.0,20.0,-10.0,-20.0,2,2.249999642372132,1,61.14061852172037,2.249999642372132,15.999999046325684,-13.749999403953552,0
38,2,1,2,20.0,20.0,0.0,10.0,-10.0,-10.0,1,-2.0000000298023224,0,16.43229263524216,2.0000000298023224,6.000000238418579,-0.4999999701976776,0
38,2,1,2,20.0,20.0,0.0,10.0,-10.0,-10.0,1,-2.5,1,16.43229263524216,2.5,6.000000238418579,-0.4999999701976776,0
38,2,1,2,20.0,20.0,0.0,10.0,-10.0,-10.0,2,6.000000238418579,0,16.43229263524216,6.000000238418579,6.000000238418579,-7.750000208616257,0
38,2,1,2,20.0,20.0,0.0,10.0,-10.0,-10.0,2,-1.7499999701976776,1,16.43229263524216,1.7499999701976776,6.000000238418579,-7.750000208616257,0
39,5,1,2,20.0,20.0,-10.0,10.0,-20.0,0.0,1,-2.0000000298023224,0,56.43228637054583,2.0000000298023224,15.999999046325684,9.500000029802322,1
39,5,1,2,20.0,20.0,-10.0,10.0,-20.0,0.0,1,7.5,1,56.43228637054583,7.5,15.999999046325684,9.500000029802322,1
39,5,1,2,20.0,20.0,-10.0,10.0,-20.0,0.0,2,15.999999046325684,0,56.43228637054583,15.999999046325684,15.999999046325684,-5.7499992847442645,0
39,5,1,2,20.0,20.0,-10.0,10.0,-20.0,0.0,2,10.24999976158142,1,56.43228637054583,10.24999976158142,15.999999046325684,-5.7499992847442645,0
40,2,1,2,20.0,10.0,-10.0,0.0,-20.0,-20.0,1,-12.000000476837158,0,13.118486702442546,12.000000476837158,19.87499952316284,-0.4999995231628418,0
40,2,1,2,20.0,10.0,-10.0,0.0,-20.0,-20.0,1,-12.5,1,13.118486702442546,12.5,19.87499952316284,-0.4999995231628418,0
40,2,1,2,20.0,10.0,-10.0,0.0,-20.0,-20.0,2,-14.000000953674316,0,13.118486702442546,14.000000953674316,19.87499952316284,-5.874998569488522,0
40,2,1,2,20.0,10.0,-10.0,0.0,-20.0,-20.0,2,-19.87499952316284,1,13.118486702442546,19.87499952316284,19.87499952316284,-5.874998569488522,0
41,2,1,2,20.0,20.0,-10.0,20.0,-20.0,-20.0,1,-12.000000476837158,0,54.21223673969525,12.000000476837158,12.000000476837158,9.500000476837158,1
41,2,1,2,20.0,20.0,-10.0,20.0,-20.0,-20.0,1,-2.5,1,54.21223673969525,2.5,12.000000476837158,9.500000476837158,1
41,2,1,2,20.0,20.0,-10.0,20.0,-20.0,-20.0,2,5.999999046325684,0,54.21223673969525,5.999999046325684,12.000000476837158,-9.624999165534973,0
41,2,1,2,20.0,20.0,-10.0,20.0,-20.0,-20.0,2,-3.6250001192092896,1,54.21223673969525,3.6250001192092896,12.000000476837158,-9.624999165534973,0
42,6,1,2,10.0,-10.0,20.0,10.0,-20.0,0.0,1,8.00000011920929,0,34.75000067551938,8.00000011920929,8.00000011920929,-10.50000011920929,0
42,6,1,2,10.0,-10.0,20.0,10.0,-20.0,0.0,1,-2.5,1,34.75000067551938,2.5,8.00000011920929,-10.50000011920929,0
42,6,1,2,10.0,-10.0,20.0,10.0,-20.0,0.0,2,-4.000000357627869,0,34.75000067551938,4.000000357627869,8.00000011920929,9.49999988079071,1
42,6,1,2,10.0,-10.0,20.0,10.0,-20.0,0.0,2,5.499999523162842,1,34.75000067551938,5.499999523162842,8.00000011920929,9.49999988079071,1
43,4,1,2,-20.0,-20.0,20.0,10.0,-10.0,10.0,1,-12.000000476837158,0,21.015622988343424,12.000000476837158,14.249999523162842,4.500000476837158,1
43,4,1,2,-20.0,-20.0,20.0,10.0,-10.0,10.0,1,-7.5,1,21.015622988343424,7.5,14.249999523162842,4.500000476837158,1
43,4,1,2,-20.0,-20.0,20.0,10.0,-10.0,10.0,2,-4.000000357627869,0,21.015622988343424,4.000000357627869,14.249999523162842,-10.249999165534973,0
43,4,1,2,-20.0,-20.0,20.0,10.0,-10.0,10.0,2,-14.249999523162842,1,21.015622988343424,14.249999523162842,14.249999523162842,-10.249999165534973,0
44,5,1,2,20.0,0.0,0.0,0.0,0.0,-10.0,1,-12.000000476837158,0,55.999998092651566,12.000000476837158,12.000000476837158,12.000000476837158,1
44,5,1,2,20.0,0.0,0.0,0.0,0.0,-10.0,1,0.0,1,55.999998092651566,0.0,12.000000476837158,12.000000476837158,1
44,5,1,2,20.0,0.0,0.0,0.0,0.0,-10.0,2,5.999999046325684,0,55.999998092651566,5.999999046325684,12.000000476837158,-7.999999076128006,0
44,5,1,2,20.0,0.0,0.0,0.0,0.0,-10.0,2,-2.0000000298023224,1,55.999998092651566,2.0000000298023224,12.000000476837158,-7.999999076128006,0
45,6,1,2,10.0,-10.0,20.0,0.0,0.0,-20.0,1,8.00000011920929,0,24.749999781449688,8.00000011920929,8.00000011920929,-10.50000011920929,0
45,6,1,2,10.0,-10.0,20.0,0.0,0.0,-20.0,1,-2.5,1,24.749999781449688,2.5,8.00000011920929,-10.50000011920929,0
45,6,1,2,10.0,-10.0,20.0,0.0,0.0,-20.0,2,-1.9999998807907104,0,24.749999781449688,1.9999998807907104,8.00000011920929,5.499999523162842,1
45,6,1,2,10.0,-10.0,20.0,0.0,0.0,-20.0,2,3.499999642372132,1,24.749999781449688,3.499999642372132,8.00000011920929,5.499999523162842,1
46,4,1,2,20.0,10.0,20.0,10.0,-20.0,-20.0,1,-22.00000047683716,0,72.56249570846573,22.00000047683716,22.00000047683716,7.000000476837162,1
46,4,1,2,20.0,10.0,20.0,10.0,-20.0,-20.0,1,-15.0,1,72.56249570846573,15.0,22.00000047683716,7.000000476837162,1
46,4,1,2,20.0,10.0,20.0,10.0,-20.0,-20.0,2,-12.000000476837158,0,72.56249570846573,12.000000476837158,22.00000047683716,10.499999523162842,1
46,4,1,2,20.0,10.0,20.0,10.0,-20.0,-20.0,2,-1.5000009536743164,1,72.56249570846573,1.5000009536743164,22.00000047683716,10.499999523162842,1
47,4,1,2,20.0,-10.0,-20.0,10.0,0.0,-10.0,1,-2.0000000298023224,0,28.390626486390875,2.0000000298023224,12.000000476837158,-2.9999999701976776,0
47,4,1,2,20.0,-10.0,-20.0,10.0,0.0,-10.0,1,-5.0,1,28.390626486390875,5.0,12.000000476837158,-2.9999999701976776,0
47,4,1,2,20.0,-10.0,-20.0,10.0,0.0,-10.0,2,-12.000000476837158,0,28.390626486390875,12.000000476837158,12.000000476837158,12.250000238418579,1
47,4,1,2,20.0,-10.0,-20.0,10.0,0.0,-10.0,2,0.2499997615814209,1,28.390626486390875,0.2499997615814209,12.000000476837158,12.250000238418579,1
48,5,1,2,-10.0,-20.0,20.0,20.0,20.0,-10.0,1,-12.000000476837158,0,121.368488699198,12.000000476837158,24.00000095367432,-0.4999995231628418,0
48,5,1,2,-10.0,-20.0,20.0,20.0,20.0,-10.0,1,-12.5,1,121.368488699198,12.5,24.00000095367432,-0.4999995231628418,0
48,5,1,2,-10.0,-20.0,20.0,20.0,20.0,-10.0,2,-24.00000095367432,0,121.368488699198,24.00000095367432,24.00000095367432,26.875000000000004,1
48,5,1,2,-10.0,-20.0,20.0,20.0,20.0,-10.0,2,2.874999046325684,1,121.368488699198,2.874999046325684,24.00000095367432,26.875000000000004,1
49,6,1,2,10.0,20.0,10.0,-20.0,-10.0,0.0,1,8.00000011920929,0,64.89061728616585,8.00000011920929,25.999999046325684,1.9999998807907104,1
49,6,1,2,10.0,20.0,10.0,-20.0,-10.0,0.0,1,10.0,1,64.89061728616585,10.0,25.999999046325684,1.9999998807907104,1
49,6,1,2,10.0,20.0,10.0,-20.0,-10.0,0.0,2,25.999999046325684,0,64.89061728616585,25.999999046325684,25.999999046325684,-11.249998807907103,0
49,6,1,2,10.0,20.0,10.0,-20.0,-10.0,0.0,2,14.75000023841858,1,64.89061728616585,14.75000023841858,25.999999046325684,-11.249998807907103,0
50,2,1,2,20.0,10.0,0.0,20.0,-20.0,-10.0,1,-2.0000000298023224,0,68.72395085170885,2.0000000298023224,15.999999046325684,2.0000000298023224,1
50,2,1,2,20.0,10.0,0.0,20.0,-20.0,-10.0,1,0.0,1,68.72395085170885,0.0,15.999999046325684,2.0000000298023224,1
50,2,1,2,20.0,10.0,0.0,20.0,-20.0,-10.0,2,15.999999046325684,0,68.72395085170885,15.999999046325684,15.999999046325684,-15.249999165534973,0
50,2,1,2,20.0,10.0,0.0,20.0,-20.0,-10.0,2,0.7499998807907104,1,68.72395085170885,0.7499998807907104,15.999999046325684,-15.249999165534973,0
51,1,0,3,20.0,10.0,0.0,-20.0,-10.0,20.0,1,8.00000011920929,0,138.39660281912498,8.00000011920929,21.25,-21.99999988079071,0
51,1,0,3,20.0,10.0,0.0,-20.0,-10.0,20.0,1,-13.99999976158142,1,138.39660281912498,13.99999976158142,21.25,-21.99999988079071,0
51,1,0,3,20.0,10.0,0.0,-20.0,-10.0,20.0,2,6.000000238418579,0,138.39660281912498,6.000000238418579,21.25,-2.2250008583068848,0
51,1,0,3,20.0,10.0,0.0,-20.0,-10.0,20.0,2,3.7749993801116943,1,138.39660281912498,3.7749993801116943,21.25,-2.2250008583068848,0
51,1,0,3,20.0,10.0,0.0,-20.0,-10.0,20.0,3,-3.149999976158142,0,138.39660281912498,3.149999976158142,21.25,24.399999976158142,1
51,1,0,3,20.0,10.0,0.0,-20.0,-10.0,20.0,3,21.25,1,138.39660281912498,21.25,21.25,24.399999976158142,1
52,4,0,3,20.0,20.0,0.0,-20.0,10.0,-10.0,1,8.00000011920929,0,185.40043187363105,8.00000011920929,22.00000047683716,-20.50000011920929,0
52,4,0,3,20.0,20.0,0.0,-20.0,10.0,-10.0,1,-12.5,1,185.40043187363105,12.5,22.00000047683716,-20.50000011920929,0
52,4,0,3,20.0,20.0,0.0,-20.0,10.0,-10.0,2,22.00000047683716,0,185.40043187363105,22.00000047683716,22.00000047683716,-16.700000762939457,0
52,4,0,3,20.0,20.0,0.0,-20.0,10.0,-10.0,2,5.299999713897705,1,185.40043187363105,5.299999713897705,22.00000047683716,-16.700000762939457,0
52,4,0,3,20.0,20.0,0.0,-20.0,10.0,-10.0,3,21.22499942779541,0,185.40043187363105,21.22499942779541,22.00000047683716,0.15624761581420898,1
52,4,0,3,20.0,20.0,0.0,-20.0,10.0,-10.0,3,21.38124704360962,1,185.40043187363105,21.38124704360962,22.00000047683716,0.15624761581420898,1
53,1,0,3,20.0,10.0,0.0,-20.0,-20.0,20.0,1,8.00000011920929,0,163.83342737197944,8.00000011920929,22.99999952316284,-30.999999642372128,0
53,1,0,3,20.0,10.0,0.0,-20.0,-20.0,20.0,1,-22.99999952316284,1,163.83342737197944,22.99999952316284,22.99999952316284,-30.999999642372128,0
53,1,0,3,20.0,10.0,0.0,-20.0,-20.0,20.0,2,6.000000238418579,0,163.83342737197944,6.000000238418579,22.99999952316284,-11.25,0
53,1,0,3,20.0,10.0,0.0,-20.0,-20.0,20.0,2,-5.249999761581421,1,163.83342737197944,5.249999761581421,22.99999952316284,-11.25,0
53,1,0,3,20.0,10.0,0.0,-20.0,-20.0,20.0,3,-4.500001072883606,0,163.83342737197944,4.500001072883606,22.99999952316284,16.7249995470047,1
53,1,0,3,20.0,10.0,0.0,-20.0,-20.0,20.0,3,12.224998474121094,1,163.83342737197944,12.224998474121094,22.99999952316284,16.7249995470047,1
54,6,0,3,10.0,20.0,20.0,0.0,-20.0,-10.0,1,8.00000011920929,0,165.47958645078066,8.00000011920929,44.00000095367432,6.499999165534975,1
54,6,0,3,10.0,20.0,20.0,0.0,-20.0,-10.0,1,14.499999284744264,1,165.47958645078066,14.499999284744264,44.00000095367432,6.499999165534975,1
54,6,0,3,10.0,20.0,20.0,0.0,-20.0,-10.0,2,25.999999046325684,0,165.47958645078066,25.999999046325684,44.00000095367432,5.499999523162842,1
54,6,0,3,10.0,20.0,20.0,0.0,-20.0,-10.0,2,31.499998569488525,1,165.47958645078066,31.499998569488525,44.00000095367432,5.499999523162842,1
54,6,0,3,10.0,20.0,20.0,0.0,-20.0,-10.0,3,44.00000095367432,0,165.47958645078066,44.00000095367432,44.00000095367432,-13.822503089904792,0
54,6,0,3,10.0,20.0,20.0,0.0,-20.0,-10.0,3,30.17749786376953,1,165.47958645078066,30.17749786376953,44.00000095367432,-13.822503089904792,0
55,6,0,3,10.0,20.0,20.0,-20.0,0.0,-10.0,1,8.00000011920929,0,160.9116680198503,8.00000011920929,44.00000095367432,6.499999165534975,1
55,6,0,3,10.0,20.0,20.0,-20.0,0.0,-10.0,1,14.499999284744264,1,160.9116680198503,14.499999284744264,44.00000095367432,6.499999165534975,1
55,6,0,3,10.0,20.0,20.0,-20.0,0.0,-10.0,2,25.999999046325684,0,160.9116680198503,25.999999046325684,44.00000095367432,5.274999141693115,1
55,6,0,3,10.0,20.0,20.0,-20.0,0.0,-10.0,2,31.2749981880188,1,160.9116680198503,31.2749981880188,44.00000095367432,5.274999141693115,1
