id;block_id;group;Qm;groupXQm;Pred;intercept_ID;b_group;b_Qm_ID;b_groupXQm;Pred_TEST
25;19;1;22;22;2.3302;1.730926429;0.027779;0.021085714;0.004141;2.313693143
25;20;1;14;14;2.1614;1.730926429;0.027779;0.021085714;0.004141;2.111879429
25;21;1;36;36;2.6257;1.730926429;0.027779;0.021085714;0.004141;2.666867143
25;22;1;27;27;2.4357;1.730926429;0.027779;0.021085714;0.004141;2.439826714
25;23;1;22;22;2.3302;1.730926429;0.027779;0.021085714;0.004141;2.313693143
25;24;1;7.45;7.45;2.0232;1.730926429;0.027779;0.021085714;0.004141;1.94664445
25;25;1;16.5;16.5;2.2142;1.730926429;0.027779;0.021085714;0.004141;2.174946214
25;26;1;20;20;2.288;1.730926429;0.027779;0.021085714;0.004141;2.263239714
25;27;1;17.5;17.5;2.2353;1.730926429;0.027779;0.021085714;0.004141;2.200172929
25;28;1;22;22;2.3302;1.730926429;0.027779;0.021085714;0.004141;2.313693143
25;29;1;6;6;1.9926;1.730926429;0.027779;0.021085714;0.004141;1.910065714
25;30;1;15.5;15.5;2.1931;1.730926429;0.027779;0.021085714;0.004141;2.1497195
25;31;1;12.5;12.5;2.1298;1.730926429;0.027779;0.021085714;0.004141;2.074039357
25;32;1;12;12;2.1192;1.730926429;0.027779;0.021085714;0.004141;2.061426
25;33;1;26;26;2.4146;1.730926429;0.027779;0.021085714;0.004141;2.4146
25;34;1;26;26;2.4146;1.730926429;0.027779;0.021085714;0.004141;2.4146
25;35;1;24;24;2.3724;1.730926429;0.027779;0.021085714;0.004141;2.364146571
25;36;1;16;16;2.2036;1.730926429;0.027779;0.021085714;0.004141;2.162332857
25;37;1;16;16;2.2036;1.730926429;0.027779;0.021085714;0.004141;2.162332857
25;38;1;6;6;1.9926;1.730926429;0.027779;0.021085714;0.004141;1.910065714
25;39;1;16;16;2.2036;1.730926429;0.027779;0.021085714;0.004141;2.162332857
25;40;1;19.87;19.87;2.2854;1.730926429;0.027779;0.021085714;0.004141;2.259960241
25;41;1;12;12;2.1192;1.730926429;0.027779;0.021085714;0.004141;2.061426
25;42;1;8;8;2.0348;1.730926429;0.027779;0.021085714;0.004141;1.960519143
25;43;1;14.25;14.25;2.1667;1.730926429;0.027779;0.021085714;0.004141;2.118186107
25;44;1;12;12;2.1192;1.730926429;0.027779;0.021085714;0.004141;2.061426
25;45;1;8;8;2.0348;1.730926429;0.027779;0.021085714;0.004141;1.960519143
25;46;1;22;22;2.3302;1.730926429;0.027779;0.021085714;0.004141;2.313693143
25;47;1;12;12;2.1192;1.730926429;0.027779;0.021085714;0.004141;2.061426
25;48;1;24;24;2.3724;1.730926429;0.027779;0.021085714;0.004141;2.364146571
25;49;1;26;26;2.4146;1.730926429;0.027779;0.021085714;0.004141;2.4146
25;50;1;16;16;2.2036;1.730926429;0.027779;0.021085714;0.004141;2.162332857
26;1;0;26;0;2.4723;1.942642857;0.027779;0.020371429;0.004141;2.4723
